gyarto	tipus	kijelzo	memoria	merevlemez	videovezerlo	ar	processzorid	oprendszerid	db
HP	COMPAQ 615 NX556EA	15,6	1024	160	ATi Mobility Radeon HD3200 256MB	95120	1	1	0
ASUS	K51AC-SX001D	15,6	2048	250	ATi Mobility Radeon HD3200 256MB	101200	1	8	0
HP	COMPAQ 615 NX560EA	15,6	2048	320	ATi Mobility Radeon HD3200 256MB	114800	1	4	0
HP	Pavilion DV6-1110EH NL956EA	15,6	3072	250	ATi Mobility Radeon HD4530 512MB	167920	1	6	3
ACER	Aspire 5536G-642G25MN	15,6	2048	250	ATi Mobility Radeon HD4570 512MB	111920	1	2	3
ACER	Aspire 5536G-643G32MN	15,6	3072	320	ATi Mobility Radeon HD4570 512MB	117520	1	2	2
MSI	X410-019HU	14	2048	320	ATI Radeon Xpress 1250	111920	4	6	4
ASUS	F83T-VX005X	14	4096	500	ATi Mobility Radeon HD4570 512MB	115920	4	8	1
MSI	VR630XL-004HU	16	2048	320	NVIDIA GeForce Go 9100M-GS	90800	5	1	1
ASUS	N60DP-JX012V	16	4096	500	ATi Mobility Radeon HD4670 512MB	183920	6	10	4
ASUS	K50AB-SX045D	15,6	4096	500	ATi Mobility Radeon HD4570 512MB	134320	7	8	5
FUJITSU	Amilo Sa3650	13,3	2048	250	ATi Mobility Radeon HD3200 256MB	223920	8	6	4
MSI	WIND U200-064HU	12	2048	320	Intel Graphics X4500M / 256MB	112400	51	6	3
ACER	eMachine E525-901G16Mi	15,6	1024	160	Intel Graphics 4500MHD 	82800	10	2	0
DELL	Inspiron 1545-106208 RED	15,6	1024	160	Intel Graphics 4500MHD 	103120	10	2	3
TOSHIBA	Satellite L500-1EN	15,6	2048	320	Intel Graphics X4500M / 256MB	118800	10	1	1
MSI	CR500X-012HU	15,6	2048	320	NVIDIA GeForce Go 8200M 128MB	94800	10	1	1
MSI	CR500X-008HU	15,6	4096	320	NVIDIA GeForce Go 8200M 128MB	95920	10	1	3
LENOVO	SL500 2746P5G	15,4	1024	160	NVIDIA GeForce Go 9300M 256MB	139920	12	4	0
TOSHIBA	Satellite L300-24P	15,4	2048	160	Intel Graphics 4500MHD	98000	12	1	0
MSI	VR603X-094HU	15,4	4096	320	Intel Graphics 4500MHD	99600	12	1	5
HP	ProBook 4510s NX435EA	15,6	2048	250	Intel Graphics 4500MHD	111920	12	1	1
FUJITSU	Esprimo V6535	15,4	1024	160	Intel Graphics 4500MHD 	95920	13	2	4
LENOVO	IdeaPad G550L 59-026377	15,6	1024	160	Intel Graphics 4500MHD	94320	14	4	5
HP	Presario CQ61-200SH NZ890EA	15,6	3072	320	Intel Graphics 4500MHD	127120	14	4	3
ACER	eMachine E525-302G25Mi	15,6	2048	250	Intel Graphics 4500MHD 	89200	14	2	0
HP	ProBook 4510s NX668EA	15,6	2048	250	Intel Graphics 4500MHD 	113520	14	2	3
HP	ProBook 4310s NX580EA	13,3	1024	160	Intel Graphics 4500MHD 	119920	14	2	3
ASUS	K50IJ-SX036L	15,6	2048	250	Intel Graphics X4500M	94320	14	8	2
ASUS	K50IJ-SX153L	15,6	4096	320	Intel Graphics X4500M / 256MB	100720	14	8	0
MSI	CR700X-023HU	17,3	3072	320	NVIDIA GeForce Go 8200M 128MB	108400	14	1	0
DELL	Vostro V860-111696	15,6	1024	250	Intel Graphics x3100	79920	17	2	3
HP	Mini 1199 NS528EA	10,1	1024	80	Intel Graphics 950	114000	18	12	3
Asus	EEE PC 1001HA-BLK012X BLACK	10	1024	160	Intel Graphics 4500MHD	59920	19	12	4
Asus	EEE PC 1001HA-WHI009X XP WHITE	10	1024	160	Intel Graphics 4500MHD	59920	19	12	4
DELL	Inspiron 1011 104442 BLUE	10,1	1024	160	Intel Graphics 500	55920	19	2	3
DELL	Inspiron 1011 104437 BLUE	10,1	1024	160	Intel Graphics 500	63992	19	12	1
DELL	Inspiron 1011 104435 BLACK	10,1	1024	160	Intel Graphics 500	63992	19	12	4
DELL	Inspiron 1011 105566 RED	10,1	1024	160	Intel Graphics 500	63992	19	12	1
DELL	Inspiron 1011 104434 WHITE	10,1	1024	160	Intel Graphics 500	63992	19	12	5
DELL	Inspiron 1011 104436 PINK	10,1	1024	160	Intel Graphics 500	63992	19	12	0
DELL	Inspiron 1011 110960 GREEN	10,1	1024	160	Intel Graphics 500	63992	19	12	5
DELL	Inspiron 1011 106751 BLACK	10,1	1024	160	Intel Graphics 500	87920	19	12	3
ACER	ASPIRE ONE A150-A BLUE	8,9	1024	120	Intel Graphics 950	58320	19	2	1
ACER	ASPIRE ONE D250-0Bw	10,1	1024	160	Intel Graphics 950	68720	19	12	5
ACER	ASPIRE ONE D250-0Br	10,1	1024	160	Intel Graphics 950	68720	19	12	3
MSI	WIND U100-1033HU	10	1024	160	Intel Graphics 950	71920	19	12	2
HP	Mini 110c-1010SH NW642EA	10,1	1024	160	Intel Graphics 950	78320	19	12	2
Asus	Eee PC 1005HA-WHI059X XP WHITE	10	1024	160	Intel Graphics 950	78320	19	12	3
HP	Mini 731 NG660EA	10,1	1024	80	Intel Graphics 950	78320	19	12	3
Asus	Eee PC 1005HA-BLK076X XP	10	1024	160	Intel Graphics 950	78400	19	12	3
LENOVO	IdeaPad S10e NS9RLHL R	10,1	1024	160	Intel Graphics 950	79920	19	12	3
LENOVO	IdeaPad S10e NS9RJHL	10,1	1024	160	Intel Graphics 950	79920	19	12	5
Asus	Eee PC 1002HA-BLK022X XP B	10	1024	160	Intel Graphics 950	91999	19	12	5
Asus	Eee PC 1004DN-BLK003X GR	10,1	1024	120	Intel Graphics 4500MHD	106700	20	12	4
ACER	ASPIRE ONE D250-1Bw	10,1	1024	160	Intel Graphics 950	71120	20	12	5
ACER	ASPIRE ONE D250-1B Blue	10,1	1024	160	Intel Graphics 950	71120	20	12	3
MSI	WIND U123-013HU BLUE	10	1024	160	Intel Graphics 950	72400	20	12	5
MSI	WIND U123-012HU RED	10	1024	160	Intel Graphics 950	72400	20	12	1
LENOVO	IdeaPad S10-2 59-027093 POP ART	10,1	1024	160	Intel Graphics 950	73520	20	12	3
LENOVO	IdeaPad S10-2 59-027094 FLOWER SEA	10,1	1024	160	Intel Graphics 950	73520	20	12	5
