"RENDSZAM";"MARKA";"EVJARAT";"MOTORCM3";"AR";"AJTO";"SEBESSEG";"LOERO";"FOGYASZTAS";"SZIN";"ELSOTULAJ"
"RAJ-046";"Opel";1994,00;2184,00;1073000,00;3,00;190,00;121,00;9,50;"zöld";1
"GBT-367";"Porsche";1988,00;1635,00;461000,00;5,00;160,00;86,00;9,20;"fehér";0
"HLT-422";"Suzuki";1992,00;2070,00;862000,00;5,00;170,00;138,00;10,50;"piros";1
"ZMG-090";"Opel";1988,00;1695,00;471000,00;4,00;150,00;99,00;9,10;"fehér";0
"VDA-686";"Toyota";1992,00;3000,00;1160000,00;3,00;220,00;187,00;13,90;"szürke";1
"KVH-454";"Fiat";1992,00;1176,00;576000,00;5,00;140,00;78,00;6,30;"piros";1
"OXQ-812";"Toyota";1994,00;910,00;564000,00;3,00;140,00;53,00;5,10;"piros";1
"EIX-616";"Suzuki";1996,00;1260,00;804000,00;4,00;140,00;63,00;6,60;"fehér";1
"ZKD-524";"Lada";1993,00;855,00;507000,00;3,00;140,00;47,00;5,40;"zöld";1
"GMK-209";"Lada";1989,00;2134,00;626000,00;3,00;200,00;106,00;13,10;"piros";1
"GDU-434";"Volvo";1995,00;1422,00;825000,00;5,00;160,00;71,00;7,60;"zöld";1
"PVT-496";"Lada";1990,00;2119,00;708000,00;5,00;170,00;105,00;11,00;"kék";1
"CKO-847";"Volvo";1992,00;2288,00;932000,00;5,00;170,00;152,00;11,60;"szürke";1
"SMR-619";"Volvo";1992,00;1305,00;617000,00;4,00;150,00;65,00;8,00;"metál";1
"WLM-832";"Porsche";1994,00;1872,00;948000,00;3,00;160,00;124,00;10,10;"piros";1
"RRF-878";"Mercedes";1991,00;2236,00;826000,00;3,00;200,00;139,00;10,10;"piros";0
"KGR-277";"Lada";1995,00;824,00;562000,00;3,00;130,00;41,00;5,70;"fehér";1
"PEV-192";"Fiat";1994,00;1378,00;751000,00;5,00;150,00;72,00;7,20;"piros";1
"BPF-361";"Toyota";1989,00;1764,00;552000,00;3,00;180,00;92,00;9,90;"bordó";0
"VOT-315";"Suzuki";1992,00;1562,00;699000,00;3,00;160,00;91,00;8,60;"fekete";1
"HCJ-266";"Opel";1992,00;2505,00;1001000,00;4,00;200,00;125,00;12,30;"szürke";1
"KPZ-163";"Opel";1996,00;1440,00;891000,00;3,00;150,00;80,00;8,00;"bordó";1
"GVS-480";"Ford";1994,00;1815,00;926000,00;4,00;160,00;95,00;10,00;"szürke";1
"EAM-019";"Toyota";1992,00;1056,00;537000,00;4,00;150,00;58,00;6,80;"szürke";1
"KQR-752";"Volvo";1994,00;1630,00;852000,00;3,00;160,00;108,00;9,30;"fehér";1
"BZO-080";"Suzuki";1989,00;1937,00;587000,00;5,00;190,00;107,00;9,30;"fehér";1
"JPP-159";"Suzuki";1996,00;1970,00;1145000,00;3,00;160,00;115,00;10,50;"metál";1
"SLG-612";"Ford";1994,00;720,00;488000,00;4,00;130,00;42,00;5,00;"bordó";1
"DZA-047";"Porsche";1994,00;1722,00;888000,00;4,00;160,00;90,00;8,20;"fehér";1
"FFO-663";"Fiat";1993,00;1431,00;715000,00;5,00;170,00;95,00;8,90;"piros";1
"MQX-057";"Lada";1996,00;1596,00;966000,00;5,00;160,00;106,00;8,10;"piros";1
"LTF-139";"Porsche";1988,00;704,00;312000,00;4,00;120,00;46,00;5,50;"fehér";1
"LIS-587";"Volvo";1992,00;1905,00;809000,00;4,00;170,00;112,00;10,30;"szürke";1
"CKM-212";"Volvo";1991,00;2240,00;827000,00;3,00;190,00;117,00;13,30;"bordó";1
"GUM-026";"Lada";1993,00;1764,00;835000,00;5,00;180,00;88,00;10,70;"piros";1
"HNV-873";"Volvo";1992,00;680,00;417000,00;3,00;130,00;35,00;4,70;"fekete";1
"FCS-742";"Toyota";1996,00;936,00;649000,00;4,00;130,00;55,00;5,50;"fehér";1
"NAT-583";"Fiat";1995,00;1452,00;838000,00;5,00;150,00;72,00;8,10;"bordó";1
"ZQM-968";"Opel";1991,00;1485,00;615000,00;5,00;170,00;99,00;9,50;"bordó";1
"NAO-856";"Toyota";1989,00;738,00;347000,00;5,00;130,00;43,00;5,40;"szürke";1
"JPE-067";"Toyota";1995,00;2265,00;1196000,00;5,00;190,00;133,00;9,60;"piros";1
"SNM-195";"Fiat";1994,00;2132,00;1052000,00;3,00;180,00;118,00;10,50;"bordó";1
"PLD-570";"Mercedes";1992,00;944,00;502000,00;3,00;130,00;62,00;6,00;"bordó";1
"YUN-466";"Lada";1990,00;1794,00;630000,00;4,00;160,00;112,00;9,30;"fehér";1
"YGK-579";"BMW";1993,00;1287,00;663000,00;3,00;150,00;64,00;8,60;"kék";1
"HWH-951";"Lada";1991,00;1056,00;495000,00;5,00;140,00;70,00;7,10;"szürke";1
