"SZERZO";"NEMZET";"CIM";"TEMA";"KIADO";"KIADAS_EVE";"KIADAS";"KOTETSZAM";"OLDALSZAM"
"Nagy József";"magyar";"A hatalmas tánc";"háborús";"Európa";1993,00;1,00;1,00;288,00
"Adam Smith";"kanadai";"Bámulatos támadás";"kaland";"Akadémia";1985,00;6,00;1,00;226,00
"James Miller";"orosz";"A legnagyobb támadás";"western";"Minerva";1988,00;1,00;1,00;238,00
"Roland Berger";"dán";"Hajszolt zürzavar";"thriller";"Minerva";1992,00;3,00;1,00;212,00
"Peter Gordon";"dán";"Öntelt szenvedély";"vers";"Akadémia";1995,00;4,00;1,00;281,00
"Peter Gordon";"japán";"Reménytelen parti";"kaland";"Apolló";1989,00;4,00;1,00;283,00
"Martin Stone";"német";"A grandiózus álom";"kaland";"Minerva";1995,00;6,00;1,00;238,00
"James Johnson";"angol";"Perverz imádság";"western";"Akadémia";1995,00;4,00;1,00;158,00
"Kiss Péter";"magyar";"Gyermeteg várakozás";"kaland";"Apolló";1990,00;5,00;3,00;603,00
"Little Richard";"francia";"A bizarr menekvés";"művész";"Európa";1989,00;3,00;1,00;232,00
"Kiss Péter";"magyar";"A legkisebb ösvények";"thriller";"Akadémia";1989,00;6,00;1,00;91,00
"Charles Bourin";"japán";"Bombasztikus ösvény";"vers";"Apolló";1988,00;2,00;1,00;170,00
"Kiss Péter";"magyar";"Kettős napozás";"horror";"Minerva";1987,00;1,00;1,00;151,00
"Máris Lajos";"magyar";"Túlvilági parti";"erotikus";"Európa";1995,00;1,00;1,00;94,00
"James Miller";"angol";"A hatalmas törvények";"dráma";"Minerva";1996,00;6,00;1,00;108,00
"Máris Lajos";"magyar";"Perverz imádság";"komédia";"Minerva";1990,00;5,00;3,00;499,00
"Roland Berger";"japán";"A gigászi tánc";"szerelmes";"Európa";1989,00;1,00;1,00;274,00
"Roger Moore";"kanadai";"A legnagyobb ének";"kaland";"Kozmosz";1991,00;4,00;1,00;70,00
"Little Richard";"dán";"A perverz tornádó";"szerelmes";"Európa";1990,00;1,00;1,00;165,00
"Hugo Brown";"kanadai";"Szótlan szenvedély";"háborús";"Kozmosz";1986,00;1,00;1,00;208,00
