nev	hossz	allomas	ido	vezetes	telepulesid
Anna-ligeti tanösvény 	2	8	1,5	-1	89
Apródok útja tanösvény 	7,2	8	3	-1	27
Aqua Colun tanösvény 	3,5	5	2	-1	45
Árpád fejedelem tanösvény 	3	11	2	-1	100
Ártéri tanösvény 	0,5	4	0,5	-1	106
Babócsai Basa-kert tanösvény 	1	2	1	-1	6
Baradla tanösvény 	7,5	18	3	-1	3
Bárányfoki tanösvény 	2,1	6	1	-1	93
Báránypirosító tanösvény 	1,6	5	1,6	-1	35
Barát-réti tanösvény 	6,5	4	3	-1	32
Barcsi Borókás tanösvény 	2	4	1	-1	10
Bazaltorgonák tanösvény 	4	7	2	-1	51
Bél-kői tanösvény 	5	7	2,5	-1	11
Bihari-sík tanösvény 	7,2	20	5,2	-1	12
Bodrogzugi vízitúra tanösvény 	5	3	2	0	103
Bódva-völgyi tanösvény 	2,5	7	1	0	78
Boróka tanösvény 	2,9	5	1,5	-1	15
Boros-Dráva tanösvény 	1	2	0,5	-1	67
Boroszlán tanösvény 	7	8	3	-1	7
Boszorkány-kő geológiai tanösvény 	0,4	13	0,5	-1	83
Bőköz tanösvény 	4	6	1,5	-1	52
Bölömbika tanösvény 	3	6	1,5	-1	62
Búbos vöcsök tanösvény 	1,5	13	1,5	0	9
Buda-hegyi tanösvény	2	8	3	-1	84
Cankó tanösvény 	1	9	1,5	-1	36
Cégénydányádi Kastélypark tanösvény 	1,5	19	1	0	17
Chernel-kerti tanösvény 	0,5	0	0,5	0	54
Cserépfalui Ördögtorony tanösvény 	10	20	4,5	-1	22
Csipak tanösvény 	3	9	1,5	-1	62
Csodarét tanösvény 	4	10	2	-1	5
Csomoros-sziget tanösvény 	0,7	10	1	-1	10
Csörgőalma tanösvény 	0	1	0,5	-1	71
Denevér tanösvény 	5	13	3	-1	1
Erdei tanösvény 	2,7	6	2	-1	15
Eresztvényi kőbányák 	2,5	6	1	-1	83
Erzsébet-sziget tanösvény 	3	2	1,5	-1	6
Fekete harkály tanösvény 	5	13	3	-1	47
Felsőszeri tanösvény 	1,7	6	1	-1	88
Fóti-Somlyó tanösvény 	3,5	11	3	-1	34
Földtani tanösvény 	2	13	1,5	-1	37
Fürge cselle tanösvény 	3,2	8	1,5	-1	50
Fürkész ösvény 	2	12	1,5	-1	46
Górési tanösvény 	11	5	3	-1	101
Halásztelki tanösvény 	3	10	1,5	-1	89
Hankovszky-liget tanösvény 	0,35	8	0,5	-1	48
Hany Istók tanösvény 	5	7	2	0	70
Haraszt-hegyi tanösvény 	3,5	7	3	-1	20
Holt-Rába tanösvény 	6	5	2	0	41
Ilona-völgyi geológiai tanösvény 	6,5	9	2,5	-1	76
Ipolytarnóc - Biológiai tanösvény 	6	13	1,25	-1	44
Ipolytarnóc - Borókás-árok geológiai tanösvény 	0,8	7	1	-1	44
Ipolytarnóc - Kőszikla tanösvény 	0,9	20	1,5	-1	44
Ipolytarnóc - Kőzetpark 	0,7	20	0,5	-1	44
Jági tanösvény 	3,5	6	2	-1	79
Jakab-hegyi tanösvény 	8	10	2	-1	23
Jávorkúti tanösvény 	3	4	1	-1	38
Jónásrészi tanösvény 	5	11	3	-1	104
Káli-medence túrahálózat 	25	79	8	-1	49
Kamon-kő tanösvény 	6	9	3	-1	95
Kékbegy tanösvény 	0,21	3	0,5	-1	31
Kékmoszat tanösvény 	2,4	12	2	-1	28
Kesznyéteni TK agrár-környezetgazdálkodási tanösvény 	4,8	6	3,5	-1	102
Kígyósi tanösvény 	5	4	2	0	87
Kismély-völgyi tanösvény 	1	5	1	-1	77
Kisvátyoni tanösvény 	8	6	3	0	13
Kitaibel tanösvény 	3	9	2	-1	86
Kontyvirág tanösvény 	2,4	6	1,5	-1	56
Kormorános-erdő tanösvény 	2	6	0,5	-1	59
Kosbor tanösvény 	1,7	5	1,5	-1	55
